DateTime,ManagedEntityGuid,Objectname,CounterName,SampleValue,AlertName,Severity
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Avg. Batch Processing Time ms,203,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Avg. Batch Processing Time ms,28.27777863,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Avg. Batch Processing Time ms,11.5,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Avg. Batch Processing Time ms,0,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Data Items/sec,0.027763449,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Data Items/sec,1.077221751,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Data Items/sec,0.1055011,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Data Items/sec,0,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Batches/sec,0.099948414,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Batches/sec,0.022210758,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Batches/sec,0,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Avg. Batch Size,5,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Avg. Batch Size,10.77777767,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Avg. Batch Size,4.75,NULL,NULL
11/20/2020 14:28,2A909362-BE1E-F148-835C-96787AE2775E,OpsMgr DW Writer Module,Avg. Batch Size,0,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Data Items/sec,0.016658079,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Data Items/sec,0,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Data Items/sec,0,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Batch Size,0,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Batch Size,0,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Batch Size,0,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Batch Age sec,0,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Batch Age sec,0,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Batch Age sec,0,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Batch Age sec,0,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Avg. Batch Processing Time ms,124.6666641,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Avg. Batch Processing Time ms,72.33333588,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Avg. Batch Processing Time ms,38.66666794,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Avg. Batch Processing Time ms,36,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Avg. Batch Processing Time ms,176.6666718,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Avg. Batch Processing Time ms,93.16666412,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Avg. Batch Processing Time ms,67.33333588,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Avg. Batch Size,0.5,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Avg. Batch Size,0,NULL,NULL
11/20/2020 14:28,15F5884C-417A-246D-A847-276EC3D14572,OpsMgr DW Synchronization Module,Avg. Batch Size,0,NULL,NULL
11/20/2020 14:27,796D4280-6CEF-C17B-6B6A-F807E4AD6496,Health Service,agent processor utilization,0.256449849,NULL,NULL
11/20/2020 14:28,51DEFC21-C60C-6F36-595F-8F05E9668D7F,Network Adapter,Bytes Total/sec,12547.2168,NULL,NULL
11/20/2020 14:28,989CA4FE-399E-BE27-1147-0399304CA051,LogicalDisk,Avg. Disk sec/Transfer,0.051283848,NULL,NULL
11/20/2020 14:28,822921F6-3C79-0F31-C632-F1EA622C61F9,Health Service Management Groups,Send Queue % Used,0.052935284,NULL,NULL
11/20/2020 14:28,989CA4FE-399E-BE27-1147-0399304CA051,LogicalDisk,Current Disk Queue Length,0,NULL,NULL
11/20/2020 14:28,A2E0BB2B-6B75-3B51-2C1E-9FFE6B793EE1,LogicalDisk,% Idle Time,3.789840698,NULL,NULL
11/20/2020 14:28,6EA459BD-0616-71F6-FC4A-7989A2DCF9FD,System,Processor Queue Length,0,NULL,NULL
11/20/2020 14:28,A2E0BB2B-6B75-3B51-2C1E-9FFE6B793EE1,LogicalDisk,Avg. Disk sec/Transfer,0.025845582,NULL,NULL
11/20/2020 14:28,989CA4FE-399E-BE27-1147-0399304CA051,LogicalDisk,% Idle Time,96.86502075,NULL,NULL
11/20/2020 14:28,822921F6-3C79-0F31-C632-F1EA622C61F9,Health Service Management Groups,Send Queue Size,8326,NULL,NULL
11/20/2020 14:28,6EA459BD-0616-71F6-FC4A-7989A2DCF9FD,Memory,Pages/sec,459.4299927,NULL,NULL
11/20/2020 14:28,A2E0BB2B-6B75-3B51-2C1E-9FFE6B793EE1,LogicalDisk,Current Disk Queue Length,3,NULL,NULL
